respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.08819758843790987,0.2599704560265513
26708,0.04749620164392002,0.047351359331783555
26709,0.45646344199179945,0.6961708776173529
26710,0.4856469107596935,0.8746069980109342
26711,0.2189448676789322,0.504478889593631
26712,0.4258951673246566,0.9177765126084093
26713,0.35976844962801147,0.5405969969357862
26714,0.12641520471314854,0.22646045732189543
26715,0.035743582888147475,0.17705030232404398
26716,0.19275364921082422,0.8668074502919587
26717,0.01944994166571561,0.35919904970423855
26718,0.19615555957026098,0.42207965924820595
26719,0.0932710195718716,0.8957951272648565
26720,0.07429048624399825,0.1454149809024456
26721,0.4311164131400792,0.4608095783583353
26722,0.04424503207350544,0.08417573344339357
26723,0.6552159608328041,0.856011235121583
26724,0.11181611237443219,0.6239419031544169
26725,0.04203759538918399,0.09493998786058976
26726,0.011311294255913729,0.023533263444728007
26727,0.3634716826250937,0.8096464796810546
26728,0.2241425444537726,0.534877824495681
26729,0.08081902464582187,0.31387323214222074
26730,0.03763849752537694,0.18755201232127017
26731,0.022923487088328167,0.3260088778368543
26732,0.09781774196382584,0.07496062633411382
26733,0.9093068511138402,0.9624262516976846
26734,0.8507987552638983,0.3345782387872809
26735,0.1615012100440248,0.457975792232616
26736,0.07091818090801938,0.14225717070825353
26737,0.0847958311604044,0.11843236142604682
26738,0.6457270133105846,0.8687763190884821
26739,0.10603273258953713,0.21591330369564513
26740,0.14874075007438575,0.12508114422059463
26741,0.20816358466365195,0.9191985788063988
26742,0.14985295329699824,0.4928839806400608
26743,0.036736181839729855,0.4209350698223427
26744,0.053444938205669645,0.588869447104903
26745,0.14200609154742838,0.9408219344376835
26746,0.11725762446143148,0.32266792171993247
26747,0.09922923907308842,0.3301864560532082
26748,0.09943435787001167,0.06700307749571391
26749,0.07775889074850482,0.6816998542373355
26750,0.6703989826896155,0.9147063400539073
26751,0.2914552997656933,0.7145522115520838
26752,0.024968896126107518,0.025155493342707915
26753,0.18655241458764427,0.6389432071601585
26754,0.08884603694929809,0.4531118578659949
26755,0.10200141973760796,0.3187809996883944
26756,0.019965546033677277,0.037650008995804146
26757,0.4585630429302686,0.5061946985169214
26758,0.6143404916240905,0.8614413643471395
26759,0.044324123992634676,0.21259488194680778
26760,0.011566472300771772,0.024318044814631706
26761,0.1504066236084088,0.60122789575563
26762,0.16839343536451157,0.8239331299627277
26763,0.8944207382636303,0.9754795894309095
26764,0.9277227823677944,0.9616580598161572
26765,0.038323529510221215,0.7017640608928611
26766,0.13984369215939985,0.13841115500542947
26767,0.7792892376588002,0.6979506288856269
26768,0.011621135571715263,0.348434143204032
26769,0.12291040420380113,0.14176720259099257
26770,0.12410068612804766,0.6765647051245856
26771,0.07328387145175419,0.20030214032083635
26772,0.09034966356593269,0.3876421801603017
26773,0.015486078015520906,0.4800643295047881
26774,0.036329072850451664,0.47595123673268436
26775,0.11152682665152232,0.5093014811911972
26776,0.3456519598899245,0.3346914242927335
26777,0.11689513514015419,0.8978878427678916
26778,0.13671184219756918,0.18432065927141547
26779,0.10719086891002605,0.5061184772156856
26780,0.13978881872342583,0.9376919972205972
26781,0.047283094235776126,0.4666957503027081
26782,0.04216105184662076,0.3406272142477086
26783,0.08227569673711727,0.41458034456495013
26784,0.3519626822922625,0.8600441371902038
26785,0.38097349241263306,0.5539174285370778
